ORIGIN,DEST,UNIQUE_CARRIER,ORIGIN_DEGREE,DEST_DEGREE,ORIGIN_NAME,ORIGIN_CITY,ORIGIN_IATA,ORIGIN_STATE,DEST_NAME,DEST_CITY,DEST_IATA,DEST_STATE
AUS,IAH,UA,33402,99268,Austin Bergstrom International Airport,Austin,AUS,TX,George Bush Intercontinental Houston Airport,Houston,IAH,TX
AUS,IAH,OO,33402,99268,Austin Bergstrom International Airport,Austin,AUS,TX,George Bush Intercontinental Houston Airport,Houston,IAH,TX
CVG,IAH,OO,12692,99268,Cincinnati Northern Kentucky International Airport,Cincinnati,CVG,KY,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SNA,IAH,UA,30716,99268,John Wayne Airport-Orange County Airport,Santa Ana,SNA,CA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SAV,IAH,OO,6049,99268,Savannah Hilton Head International Airport,Savannah,SAV,GA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
CMH,IAH,EV,18917,99268,Port Columbus International Airport,Columbus,CMH,OH,George Bush Intercontinental Houston Airport,Houston,IAH,TX
CMH,IAH,OO,18917,99268,Port Columbus International Airport,Columbus,CMH,OH,George Bush Intercontinental Houston Airport,Houston,IAH,TX
LGA,IAH,UA,57313,99268,La Guardia Airport,New York,LGA,NY,George Bush Intercontinental Houston Airport,Houston,IAH,TX
ASE,IAH,OO,3659,99268,Aspen-Pitkin Co/Sardy Field,Aspen,ASE,CO,George Bush Intercontinental Houston Airport,Houston,IAH,TX
CHS,IAH,EV,11981,99268,Charleston Air Force Base-International Airport,Charleston,CHS,SC,George Bush Intercontinental Houston Airport,Houston,IAH,TX
CAE,IAH,EV,3699,99268,Columbia Metropolitan Airport,Columbia,CAE,SC,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SAT,IAH,OO,22709,99268,San Antonio International Airport,San Antonio,SAT,TX,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SAT,IAH,UA,22709,99268,San Antonio International Airport,San Antonio,SAT,TX,George Bush Intercontinental Houston Airport,Houston,IAH,TX
RSW,IAH,UA,19440,99268,Southwest Florida International Airport,Fort Myers,RSW,FL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
ELP,IAH,EV,8551,99268,El Paso International Airport,El Paso,ELP,TX,George Bush Intercontinental Houston Airport,Houston,IAH,TX
PNS,IAH,EV,4592,99268,Pensacola Regional Airport,Pensacola,PNS,FL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
PNS,IAH,OO,4592,99268,Pensacola Regional Airport,Pensacola,PNS,FL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
PIT,IAH,OO,18607,99268,Pittsburgh International Airport,Pittsburgh,PIT,PA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
PIT,IAH,EV,18607,99268,Pittsburgh International Airport,Pittsburgh,PIT,PA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
MSY,IAH,UA,33936,99268,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
